Code_BuildingVariant,Code_Country,Code_Building,Code_BuildingSizeClass,Code_Period,Code_Material,Code_Zone,Code_RoofType,Year1_Building,Year2_Building,n_Apartment,n_Storey,A_C_Ref,h_room,A_Wall_1,A_Wall_2,A_Wall_3,A_Roof_1,A_Roof_2,A_Floor_1,A_Floor_2,A_Door_1,A_Window_North,A_Window_East,A_Window_South,A_Window_West,A_Window_Horizontal,A_Window_1,A_Window_2,F_sh_vert,F_sh_hor,F_f,F_w,U_Actual_Wall_1,U_Actual_Wall_2,U_Actual_Wall_3,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,U_Actual_Roof_1,U_Actual_Roof_2,b_Transmission_Roof_1,b_Transmission_Roof_2,U_Actual_Floor_1,U_Actual_Floor_2,b_Transmission_Floor_1,b_Transmission_Floor_2,U_Actual_Door_1,U_Window_1,U_Window_2,g_gl_n_Window_1,n_air_infiltration,n_air_use,q_h_nd
CL.SFH.preRT.prefab.D,CL,CL.SFH.preRT.prefab.D,SFH,preRT,prefab,D,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.63,0,0,1.0,0,0,0.34,0,1.0,0,2.84,0,0.45,0,2.5,5.8,0,0.87,0.8,0.3,120
CL.SFH.preRT.prefab.E,CL,CL.SFH.preRT.prefab.E,SFH,preRT,prefab,E,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.6,0,0,1.0,0,0,0.35,0,1.0,0,3.95,0,0.45,0,2.5,4.54,0,0.87,0.8,0.3,120
CL.SFH.preRT.prefab.F,CL,CL.SFH.preRT.prefab.F,SFH,preRT,prefab,F,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.375,0,0,1.0,0,0,0.26,0,1.0,0,0.45,0,0.45,0,2.5,2.93,0,0.87,0.8,0.3,120
CL.SFH.preRT.prefab.G,CL,CL.SFH.preRT.prefab.G,SFH,preRT,prefab,G,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.4,0,0,1.0,0,0,0.29,0,1.0,0,0.55,0,0.45,0,2.5,3.28,0,0.87,0.8,0.3,120
CL.SFH.preRT.prefab.H,CL,CL.SFH.preRT.prefab.H,SFH,preRT,prefab,H,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.59,0,0,1.0,0,0,0.33,0,1.0,0,0.29,0,0.45,0,2.5,4.54,0,0.87,0.8,0.3,120
CL.SFH.preRT.prefab.I,CL,CL.SFH.preRT.prefab.I,SFH,preRT,prefab,I,SD,1,1999,1,1,60,2.4,57.6,0,0,60,0,60,0,2.0,2.15,2.15,2.15,2.15,0,8.6,0,0.9,1.0,0.7,0.9,0.5829,0,0,1.0,0,0,0.2489,0,1.0,0,0.66,0,0.45,0,2.5,4.54,0,0.87,0.8,0.3,120
CL.SFH.RT1.adobe.A,CL,CL.SFH.RT1.adobe.A,SFH,RT1,adobe,A,SD,2000,2006,1,1,65,2.4,62.4,0,0,65,0,65,0,2.0,2.35,2.35,2.35,2.35,0,9.4,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,3.83,0,1.0,0,3.41,0,0.45,0,2.5,5.8,0,0.75,0.6,0.3,80
CL.SFH.RT1.adobe.B,CL,CL.SFH.RT1.adobe.B,SFH,RT1,adobe,B,SD,2000,2006,1,1,65,2.4,62.4,0,0,65,0,65,0,2.0,2.35,2.35,2.35,2.35,0,9.4,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.481,0,1.0,0,1.108,0,0.45,0,2.5,5.8,0,0.75,0.6,0.3,80
CL.SFH.RT1.adobe.C,CL,CL.SFH.RT1.adobe.C,SFH,RT1,adobe,C,SD,2000,2006,1,1,65,2.4,62.4,0,0,65,0,65,0,2.0,2.35,2.35,2.35,2.35,0,9.4,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.71,0,1.0,0,0.86,0,0.45,0,2.5,5.8,0,0.75,0.6,0.3,80
CL.SFH.RT1.adobe.D,CL,CL.SFH.RT1.adobe.D,SFH,RT1,adobe,D,SD,2000,2006,1,1,65,2.4,62.4,0,0,65,0,65,0,2.0,2.35,2.35,2.35,2.35,0,9.4,0,0.9,1.0,0.7,0.9,1.38,0,0,1.0,0,0,0.378,0,1.0,0,0.66,0,0.45,0,2.5,3.28,0,0.75,0.6,0.3,80
